,Solute Ions,Ranged Ions,Total Ions,,Center_x (nm) Solute,Center_y (nm) Solute,Center_z (nm) Solute,R_gx (nm) Solute,R_gy (nm) Solute,R_gz (nm) Solute,V_Rg (nm^3) Solute,Extent_x (nm) Solute,Extent_y (nm) Solute,Extent_z (nm) Solute,V_Extent (nm^3) Solute,,Center_x (nm) Ranged,Center_y (nm) Ranged,Center_z (nm) Ranged,R_gx (nm) Ranged,R_gy (nm) Ranged,R_gz (nm) Ranged,V_Rg (nm^3) Ranged,Extent_x (nm) Ranged,Extent_y (nm) Ranged,Extent_z (nm) Ranged,V_Extent (nm^3) Ranged,,Center_x (nm) Total,Center_y (nm) Total,Center_z (nm) Total,R_gx (nm) Total,R_gy (nm) Total,R_gz (nm) Total,V_Rg (nm^3) Total,Extent_x (nm) Total,Extent_y (nm) Total,Extent_z (nm) Total,V_Extent (nm^3) Total,,Center_x (nm) Solute',Center_y (nm) Solute',Center_z (nm) Solute',R_gx (nm) Solute',R_gy (nm) Solute',R_gz (nm) Solute',V_Rg (nm^3) Solute',Extent_x (nm) Solute',Extent_y (nm) Solute',Extent_z (nm) Solute',V_Extent (nm^3) Solute',,Center_x (nm) Ranged',Center_y (nm) Ranged',Center_z (nm) Ranged',R_gx (nm) Ranged',R_gy (nm) Ranged',R_gz (nm) Ranged',V_Rg (nm^3) Ranged',Extent_x (nm) Ranged',Extent_y (nm) Ranged',Extent_z (nm) Ranged',V_Extent (nm^3) Ranged',,Center_x (nm) Total',Center_y (nm) Total',Center_z (nm) Total',R_gx (nm) Total',R_gy (nm) Total',R_gz (nm) Total',V_Rg (nm^3) Total',Extent_x (nm) Total',Extent_y (nm) Total',Extent_z (nm) Total',V_Extent (nm^3) Total',,Fe % Ranged,Mn % Ranged,Cr % Ranged,C % Ranged,Ni % Ranged,Al % Ranged,Cu % Ranged,NiH % Ranged,C2 % Ranged,C3 % Ranged,C4 % Ranged,Ca % Ranged,Ga % Ranged,Rn % Ranged,H % Ranged,,Fe % Total,Mn % Total,Cr % Total,C % Total,Ni % Total,Al % Total,Cu % Total,NiH % Total,C2 % Total,C3 % Total,C4 % Total,Ca % Total,Ga % Total,Rn % Total,H % Total,,Fe Count,Mn Count,Cr Count,C Count,Ni Count,Al Count,Cu Count,NiH Count,C2 Count,C3 Count,C4 Count,Ca Count,Ga Count,Rn Count,H Count
Cluster 768,2605,2606,3003,,-10.1565,32.2785,212.7462,1.1968,1.0515,1.3422,7.0751,2.5873,2.3497,2.9349,74.7350,,-10.1569,32.2792,212.7460,1.1967,1.0520,1.3420,7.0766,2.5876,2.3489,2.9346,74.7172,,-10.1661,32.2742,212.7446,1.1937,1.0482,1.3454,7.0508,2.5969,2.3539,2.9332,75.1064,,-10.1565,32.2785,212.7462,1.0406,1.0934,1.4356,6.8424,2.3696,2.6750,3.0245,80.3054,,-10.1569,32.2792,212.7460,1.0409,1.0934,1.4355,6.8434,2.3710,2.6749,3.0243,80.3451,,-10.1661,32.2742,212.7446,1.0371,1.0933,1.4362,6.8211,2.3604,2.6598,3.0340,79.7863,,25.2494%,11.8573%,2.4559%,0.5372%,24.6355%,10.2072%,12.6247%,0.0384%,0.2686%,0.1151%,0.0000%,0.0000%,0.0384%,11.9724%,0.0000%,,21.9114%,10.2897%,2.1312%,0.4662%,21.3786%,8.8578%,10.9557%,0.0333%,0.2331%,0.0999%,0.0000%,0.0000%,0.0333%,10.3896%,0.0000%,,658,309,64,14,642,266,329,1,7,3,0,0,1,312,0
Cluster 769,8072,8084,9092,,7.3950,-36.0286,214.0308,1.4718,1.7132,1.6929,17.8803,3.7189,3.7198,3.8227,221.5084,,7.3950,-36.0294,214.0302,1.4720,1.7135,1.6925,17.8818,3.7189,3.7190,3.8220,221.4229,,7.3912,-36.0314,214.0249,1.4791,1.7135,1.6876,17.9165,3.7151,3.7170,3.8167,220.7728,,7.3950,-36.0286,214.0308,1.3624,1.6217,1.8658,17.2672,3.3636,3.3866,4.3401,207.0895,,7.3950,-36.0294,214.0302,1.3621,1.6222,1.8657,17.2672,3.3637,3.3839,4.3403,206.9405,,7.3912,-36.0314,214.0249,1.3693,1.6145,1.8682,17.3009,3.3934,3.3744,4.3388,208.1144,,24.3196%,11.8258%,2.2885%,0.4082%,25.8535%,10.0569%,8.9683%,0.0742%,0.1856%,0.3093%,0.0000%,0.0619%,0.0866%,15.5616%,0.0000%,,21.6234%,10.5147%,2.0348%,0.3630%,22.9872%,8.9419%,7.9740%,0.0660%,0.1650%,0.2750%,0.0000%,0.0550%,0.0770%,13.8363%,0.0000%,,1966,956,185,33,2090,813,725,6,15,25,0,5,7,1258,0
Cluster 770,969,970,1122,,-30.6790,22.0477,212.3432,0.8408,0.7545,0.8117,2.1569,1.9261,1.7651,1.8831,26.8165,,-30.6805,22.0482,212.3423,0.8416,0.7543,0.8117,2.1584,1.9246,1.7646,1.8840,26.8014,,-30.6830,22.0605,212.3390,0.8378,0.7531,0.8130,2.1485,1.9221,1.7617,1.8873,26.7686,,-30.6790,22.0477,212.3432,0.7087,0.8207,0.8713,2.1229,1.6962,1.8251,2.0919,27.1270,,-30.6805,22.0482,212.3423,0.7088,0.8209,0.8717,2.1245,1.6954,1.8273,2.0886,27.1042,,-30.6830,22.0605,212.3390,0.7100,0.8201,0.8679,2.1168,1.7096,1.8386,2.0743,27.3119,,25.4639%,12.8866%,2.3711%,0.7216%,24.1237%,7.6289%,13.4021%,0.0000%,0.2062%,0.3093%,0.0000%,0.1031%,0.0000%,12.7835%,0.0000%,,22.0143%,11.1408%,2.0499%,0.6239%,20.8556%,6.5954%,11.5865%,0.0000%,0.1783%,0.2674%,0.0000%,0.0891%,0.0000%,11.0517%,0.0000%,,247,125,23,7,234,74,130,0,2,3,0,1,0,124,0
Cluster 771,318,318,382,,19.4452,32.9775,212.8609,0.4726,0.5434,0.8112,0.8726,0.9873,1.1420,1.9026,8.9860,,19.4452,32.9775,212.8609,0.4726,0.5434,0.8112,0.8726,0.9873,1.1420,1.9026,8.9860,,19.4507,32.9957,212.8651,0.4694,0.5421,0.8134,0.8669,0.9929,1.1237,1.9918,9.3087,,19.4452,32.9775,212.8609,0.4621,0.5349,0.8229,0.8519,1.0005,1.1736,1.8925,9.3084,,19.4452,32.9775,212.8609,0.4621,0.5349,0.8229,0.8519,1.0005,1.1736,1.8925,9.3084,,19.4507,32.9957,212.8651,0.4597,0.5372,0.8221,0.8503,1.0103,1.1650,2.0028,9.8739,,27.9874%,12.2642%,2.2013%,1.2579%,21.3836%,10.6918%,11.6352%,0.3145%,0.0000%,0.6289%,0.0000%,0.0000%,0.0000%,11.6352%,0.0000%,,23.2984%,10.2094%,1.8325%,1.0471%,17.8010%,8.9005%,9.6859%,0.2618%,0.0000%,0.5236%,0.0000%,0.0000%,0.0000%,9.6859%,0.0000%,,89,39,7,4,68,34,37,1,0,2,0,0,0,37,0
Cluster 772,394,394,442,,-20.9330,-28.3286,212.3876,0.5381,0.6119,0.6141,0.8468,1.2958,1.3679,1.3781,10.2320,,-20.9330,-28.3286,212.3876,0.5381,0.6119,0.6141,0.8468,1.2958,1.3679,1.3781,10.2320,,-20.9307,-28.3322,212.3881,0.5421,0.6134,0.6059,0.8439,1.2981,1.3715,1.3786,10.2815,,-20.9330,-28.3286,212.3876,0.5231,0.5971,0.6410,0.8386,1.2114,1.3421,1.3560,9.2347,,-20.9330,-28.3286,212.3876,0.5231,0.5971,0.6410,0.8386,1.2114,1.3421,1.3560,9.2347,,-20.9307,-28.3322,212.3881,0.5239,0.5956,0.6388,0.8348,1.1842,1.3759,1.3435,9.1690,,24.1117%,9.3909%,2.5381%,0.2538%,25.3807%,6.3452%,14.9746%,0.0000%,0.5076%,0.2538%,0.0000%,0.0000%,0.0000%,16.2437%,0.0000%,,21.4932%,8.3710%,2.2624%,0.2262%,22.6244%,5.6561%,13.3484%,0.0000%,0.4525%,0.2262%,0.0000%,0.0000%,0.0000%,14.4796%,0.0000%,,95,37,10,1,100,25,59,0,2,1,0,0,0,64,0
Cluster 773,15506,15522,17663,,21.4017,-22.9624,219.3163,2.5441,1.8453,3.2458,63.8299,6.1128,5.8585,7.4621,1119.3757,,21.4010,-22.9622,219.3169,2.5437,1.8455,3.2458,63.8231,6.1135,5.8584,7.4627,1119.5632,,21.4112,-22.9706,219.2989,2.5420,1.8374,3.2361,63.3120,6.1102,5.8667,7.4447,1117.8549,,21.4017,-22.9624,219.3163,1.3901,1.5916,3.9934,37.0096,3.2643,4.7475,8.8071,571.7107,,21.4010,-22.9622,219.3169,1.3899,1.5918,3.9932,37.0068,3.2653,4.7477,8.8081,571.9683,,21.4112,-22.9706,219.2989,1.3954,1.5882,3.9800,36.9479,3.2553,4.7615,8.7872,570.5152,,27.7993%,11.9637%,2.8282%,0.3543%,24.0691%,10.0889%,8.2013%,0.1031%,0.2126%,0.2641%,0.0000%,0.0322%,0.0709%,14.0124%,0.0000%,,24.4296%,10.5135%,2.4854%,0.3114%,21.1516%,8.8660%,7.2072%,0.0906%,0.1868%,0.2321%,0.0000%,0.0283%,0.0623%,12.3139%,0.0000%,,4315,1857,439,55,3736,1566,1273,16,33,41,0,5,11,2175,0
Cluster 774,415,416,460,,-17.0962,-20.9593,213.0252,0.5627,0.5911,0.6601,0.9197,1.1913,1.4307,1.6312,11.6460,,-17.0941,-20.9587,213.0279,0.5637,0.5904,0.6615,0.9223,1.1934,1.4302,1.6339,11.6812,,-17.1010,-20.9424,213.0227,0.5599,0.6052,0.6667,0.9463,1.1865,1.4257,1.6287,11.5407,,-17.0962,-20.9593,213.0252,0.4956,0.5636,0.7338,0.8586,1.1023,1.2011,1.5860,8.7954,,-17.0941,-20.9587,213.0279,0.4957,0.5644,0.7347,0.8610,1.1032,1.2016,1.5878,8.8165,,-17.1010,-20.9424,213.0227,0.4947,0.5599,0.7524,0.8728,1.1065,1.1945,1.5934,8.8219,,25.7212%,9.8558%,0.9615%,0.9615%,22.1154%,8.6538%,15.6250%,0.2404%,0.2404%,0.4808%,0.0000%,0.2404%,0.0000%,14.9038%,0.0000%,,23.2609%,8.9130%,0.8696%,0.8696%,20.0000%,7.8261%,14.1304%,0.2174%,0.2174%,0.4348%,0.0000%,0.2174%,0.0000%,13.4783%,0.0000%,,107,41,4,4,92,36,65,1,1,2,0,1,0,62,0
Cluster 775,1546,1547,1717,,-30.2454,-13.2839,214.1915,0.9078,0.8781,1.0948,3.6555,2.1419,1.9599,2.4793,43.5958,,-30.2458,-13.2839,214.1908,0.9077,0.8778,1.0948,3.6538,2.1415,1.9599,2.4786,43.5755,,-30.2489,-13.2905,214.1885,0.9036,0.8800,1.0860,3.6173,2.1384,1.9533,2.4764,43.3271,,-30.2454,-13.2839,214.1915,0.7724,0.9074,1.1720,3.4411,1.7820,2.0868,2.8052,43.6955,,-30.2458,-13.2839,214.1908,0.7722,0.9074,1.1718,3.4396,1.7819,2.0864,2.8047,43.6750,,-30.2489,-13.2905,214.1885,0.7738,0.9028,1.1647,3.4081,1.7805,2.0837,2.8048,43.5882,,22.4305%,13.3807%,1.9392%,0.1939%,23.2062%,8.0802%,14.6089%,0.0646%,0.1939%,0.2586%,0.0000%,0.0646%,0.0000%,15.5785%,0.0000%,,20.2097%,12.0559%,1.7472%,0.1747%,20.9086%,7.2801%,13.1625%,0.0582%,0.1747%,0.2330%,0.0000%,0.0582%,0.0000%,14.0361%,0.0000%,,347,207,30,3,359,125,226,1,3,4,0,1,0,241,0
Cluster 776,263,263,298,,22.1472,-5.1265,212.9197,0.4240,0.5492,0.5864,0.5719,1.0407,1.3511,1.4624,8.6136,,22.1472,-5.1265,212.9197,0.4240,0.5492,0.5864,0.5719,1.0407,1.3511,1.4624,8.6136,,22.1425,-5.1412,212.9285,0.4263,0.5506,0.5965,0.5865,1.0359,1.3364,1.4535,8.4289,,22.1472,-5.1265,212.9197,0.3820,0.4642,0.6810,0.5059,0.9236,0.9372,1.6023,5.8099,,22.1472,-5.1265,212.9197,0.3820,0.4642,0.6810,0.5059,0.9236,0.9372,1.6023,5.8099,,22.1425,-5.1412,212.9285,0.3897,0.4667,0.6863,0.5228,0.9255,0.9497,1.6117,5.9338,,26.2357%,10.6464%,2.2814%,0.7605%,19.3916%,10.6464%,15.2091%,0.0000%,0.3802%,0.0000%,0.0000%,0.0000%,0.0000%,14.4487%,0.0000%,,23.1544%,9.3960%,2.0134%,0.6711%,17.1141%,9.3960%,13.4228%,0.0000%,0.3356%,0.0000%,0.0000%,0.0000%,0.0000%,12.7517%,0.0000%,,69,28,6,2,51,28,40,0,1,0,0,0,0,38,0
Cluster 777,735,735,840,,10.1091,3.9733,213.6755,0.7829,0.7472,0.7542,1.8478,1.8044,1.6903,1.6912,21.6058,,10.1091,3.9733,213.6755,0.7829,0.7472,0.7542,1.8478,1.8044,1.6903,1.6912,21.6058,,10.1175,3.9795,213.6789,0.7831,0.7436,0.7575,1.8477,1.8128,1.6841,1.7269,22.0835,,10.1091,3.9733,213.6755,0.7095,0.7497,0.8213,1.8298,1.6977,1.7034,1.7830,21.5985,,10.1091,3.9733,213.6755,0.7095,0.7497,0.8213,1.8298,1.6977,1.7034,1.7830,21.5985,,10.1175,3.9795,213.6789,0.7046,0.7526,0.8229,1.8278,1.6827,1.7043,1.7921,21.5279,,25.3061%,11.4286%,3.1293%,0.8163%,26.3946%,6.3946%,13.7415%,0.0000%,0.2721%,0.1361%,0.0000%,0.0000%,0.0000%,12.3810%,0.0000%,,22.1429%,10.0000%,2.7381%,0.7143%,23.0952%,5.5952%,12.0238%,0.0000%,0.2381%,0.1190%,0.0000%,0.0000%,0.0000%,10.8333%,0.0000%,,186,84,23,6,194,47,101,0,2,1,0,0,0,91,0
Cluster 778,4991,4995,5636,,-4.9802,11.7664,214.5167,1.4431,1.9779,1.3354,15.9664,3.6480,4.7114,3.2753,235.7995,,-4.9809,11.7674,214.5168,1.4432,1.9777,1.3352,15.9636,3.6487,4.7124,3.2754,235.9025,,-4.9844,11.7744,214.5074,1.4306,1.9701,1.3386,15.8032,3.6522,4.7194,3.3329,240.6352,,-4.9802,11.7664,214.5167,1.1507,1.4028,2.1180,14.3215,2.7295,3.4677,5.1804,205.3917,,-4.9809,11.7674,214.5168,1.1509,1.4028,2.1177,14.3211,2.7291,3.4674,5.1817,205.3946,,-4.9844,11.7744,214.5074,1.1460,1.3987,2.1095,14.1637,2.7411,3.4607,5.1792,205.7987,,27.5075%,12.4925%,2.9429%,0.3804%,23.7237%,8.1281%,9.5495%,0.0000%,0.2002%,0.1001%,0.0601%,0.0200%,0.0601%,14.8348%,0.0000%,,24.3790%,11.0717%,2.6082%,0.3371%,21.0256%,7.2037%,8.4634%,0.0000%,0.1774%,0.0887%,0.0532%,0.0177%,0.0532%,13.1476%,0.0000%,,1374,624,147,19,1185,406,477,0,10,5,3,1,3,741,0
Cluster 779,2540,2545,2878,,-22.3538,23.4771,214.2618,0.9716,0.9925,1.3777,5.5646,2.2322,2.3018,3.0358,65.3376,,-22.3545,23.4763,214.2628,0.9717,0.9920,1.3775,5.5617,2.2329,2.3010,3.0349,65.3152,,-22.3449,23.4779,214.2676,0.9717,0.9946,1.3713,5.5519,2.2233,2.3026,3.0300,64.9745,,-22.3538,23.4771,214.2618,0.9121,1.0152,1.4015,5.4365,2.0370,2.3509,3.0038,60.2527,,-22.3545,23.4763,214.2628,0.9121,1.0149,1.4013,5.4338,2.0367,2.3482,3.0026,60.1498,,-22.3449,23.4779,214.2676,0.9108,1.0166,1.3968,5.4176,2.0408,2.3485,2.9859,59.9461,,26.0904%,11.4342%,1.7289%,0.2358%,23.8114%,8.4479%,15.0098%,0.0393%,0.2358%,0.1572%,0.0000%,0.0393%,0.1572%,12.6130%,0.0000%,,23.0716%,10.1112%,1.5288%,0.2085%,21.0563%,7.4705%,13.2731%,0.0347%,0.2085%,0.1390%,0.0000%,0.0347%,0.1390%,11.1536%,0.0000%,,664,291,44,6,606,215,382,1,6,4,0,1,4,321,0
Cluster 780,544,545,617,,-15.8843,29.8580,212.5205,0.7607,0.7261,0.6062,1.4024,1.6684,1.8124,1.3879,17.5784,,-15.8834,29.8575,212.5190,0.7603,0.7255,0.6067,1.4018,1.6675,1.8119,1.3894,17.5839,,-15.8761,29.8497,212.5291,0.7518,0.7281,0.6078,1.3935,1.6601,1.8041,1.4500,18.1907,,-15.8843,29.8580,212.5205,0.5555,0.7358,0.7896,1.3517,1.3182,1.6204,1.7441,15.6046,,-15.8834,29.8575,212.5190,0.5554,0.7360,0.7888,1.3508,1.3161,1.6173,1.7443,15.5524,,-15.8761,29.8497,212.5291,0.5638,0.7377,0.7764,1.3524,1.3445,1.6124,1.7393,15.7942,,27.3394%,14.6789%,2.0183%,0.0000%,23.3028%,8.6239%,12.4771%,0.0000%,0.3670%,0.1835%,0.1835%,0.0000%,0.1835%,10.6422%,0.0000%,,24.1491%,12.9660%,1.7828%,0.0000%,20.5835%,7.6175%,11.0211%,0.0000%,0.3241%,0.1621%,0.1621%,0.0000%,0.1621%,9.4003%,0.0000%,,149,80,11,0,127,47,68,0,2,1,1,0,1,58,0
Cluster 781,4035,4038,4637,,8.4868,30.7858,215.2995,1.2850,1.3483,1.6098,11.6824,2.7330,3.0674,3.4848,122.3702,,8.4875,30.7851,215.2998,1.2851,1.3486,1.6094,11.6837,2.7322,3.0682,3.4845,122.3556,,8.4968,30.7992,215.2772,1.2869,1.3542,1.6150,11.7895,2.7230,3.0541,3.5071,122.1661,,8.4868,30.7858,215.2995,1.2401,1.3580,1.6366,11.5447,2.7538,3.1723,3.5654,130.4686,,8.4875,30.7851,215.2998,1.2399,1.3584,1.6364,11.5452,2.7536,3.1717,3.5654,130.4325,,8.4968,30.7992,215.2772,1.2362,1.3647,1.6456,11.6280,2.7468,3.1958,3.5834,131.7633,,23.4027%,10.3764%,2.3774%,0.2972%,26.3992%,10.8717%,15.5523%,0.0495%,0.3467%,0.1981%,0.0000%,0.0000%,0.0743%,10.0545%,0.0000%,,20.3796%,9.0360%,2.0703%,0.2588%,22.9890%,9.4673%,13.5432%,0.0431%,0.3019%,0.1725%,0.0000%,0.0000%,0.0647%,8.7557%,0.0000%,,945,419,96,12,1066,439,628,2,14,8,0,0,3,406,0
Cluster 782,836,836,947,,28.1287,-13.3542,213.6487,0.7135,0.8194,0.8141,1.9938,1.7237,1.9290,2.0832,29.0159,,28.1287,-13.3542,213.6487,0.7135,0.8194,0.8141,1.9938,1.7237,1.9290,2.0832,29.0159,,28.1367,-13.3401,213.6331,0.7132,0.8265,0.8168,2.0167,1.7157,1.9150,2.0988,28.8841,,28.1287,-13.3542,213.6487,0.6767,0.7781,0.8831,1.9478,1.4838,1.9529,2.0320,24.6641,,28.1287,-13.3542,213.6487,0.6767,0.7781,0.8831,1.9478,1.4838,1.9529,2.0320,24.6641,,28.1367,-13.3401,213.6331,0.6755,0.7860,0.8858,1.9702,1.4933,1.9973,2.0405,25.4926,,24.5215%,12.3206%,2.1531%,0.2392%,20.6938%,8.7321%,16.7464%,0.0000%,0.2392%,0.4785%,0.1196%,0.0000%,0.0000%,13.7560%,0.0000%,,21.6473%,10.8765%,1.9007%,0.2112%,18.2682%,7.7086%,14.7835%,0.0000%,0.2112%,0.4224%,0.1056%,0.0000%,0.0000%,12.1436%,0.0000%,,205,103,18,2,173,73,140,0,2,4,1,0,0,115,0
Cluster 783,775,775,863,,-18.8870,-2.9556,214.0734,0.7207,0.6324,0.8804,1.6810,1.5534,1.3348,2.0726,18.0014,,-18.8870,-2.9556,214.0734,0.7207,0.6324,0.8804,1.6810,1.5534,1.3348,2.0726,18.0014,,-18.8806,-2.9514,214.0706,0.7195,0.6306,0.8823,1.6768,1.5599,1.3305,2.0754,18.0429,,-18.8870,-2.9556,214.0734,0.5989,0.6848,0.9311,1.5995,1.4629,1.4357,2.0996,18.4721,,-18.8870,-2.9556,214.0734,0.5989,0.6848,0.9311,1.5995,1.4629,1.4357,2.0996,18.4721,,-18.8806,-2.9514,214.0706,0.5997,0.6796,0.9339,1.5945,1.5065,1.4071,2.0865,18.5269,,22.4516%,12.9032%,1.9355%,0.7742%,23.2258%,7.0968%,16.1290%,0.1290%,0.3871%,0.3871%,0.0000%,0.0000%,0.0000%,14.5806%,0.0000%,,20.1622%,11.5875%,1.7381%,0.6952%,20.8575%,6.3731%,14.4844%,0.1159%,0.3476%,0.3476%,0.0000%,0.0000%,0.0000%,13.0939%,0.0000%,,174,100,15,6,180,55,125,1,3,3,0,0,0,113,0
Cluster 784,1635,1638,1868,,18.8385,7.7459,214.9181,1.0204,0.9256,1.0310,4.0788,2.3687,2.1000,2.1325,44.4321,,18.8384,7.7456,214.9175,1.0195,0.9262,1.0320,4.0818,2.3688,2.0997,2.1330,44.4398,,18.8501,7.7579,214.9270,1.0164,0.9291,1.0275,4.0645,2.3571,2.1120,2.1243,44.2983,,18.8385,7.7459,214.9181,0.8696,0.9931,1.1038,3.9931,2.0978,2.3220,2.4041,49.0538,,18.8384,7.7456,214.9175,0.8691,0.9934,1.1046,3.9945,2.0982,2.3156,2.4076,48.9975,,18.8501,7.7579,214.9270,0.8742,0.9873,1.1014,3.9819,2.0993,2.3030,2.4072,48.7510,,27.2283%,12.1490%,2.9915%,0.4274%,22.7106%,9.3407%,11.1722%,0.0611%,0.0611%,0.3663%,0.0000%,0.0611%,0.1221%,13.3089%,0.0000%,,23.8758%,10.6531%,2.6231%,0.3747%,19.9143%,8.1906%,9.7966%,0.0535%,0.0535%,0.3212%,0.0000%,0.0535%,0.1071%,11.6702%,0.0000%,,446,199,49,7,372,153,183,1,1,6,0,1,2,218,0
Cluster 785,1035,1037,1197,,31.6106,-23.5064,214.7658,0.8203,0.8697,0.6926,2.0695,1.9905,1.8654,1.6052,24.9657,,31.6114,-23.5071,214.7653,0.8200,0.8692,0.6930,2.0691,1.9912,1.8647,1.6057,24.9743,,31.6203,-23.4984,214.7590,0.8151,0.8648,0.6950,2.0520,2.0001,1.8734,1.6120,25.3022,,31.6106,-23.5064,214.7658,0.6749,0.8070,0.8956,2.0432,1.6437,1.9623,1.9351,26.1451,,31.6114,-23.5071,214.7653,0.6748,0.8073,0.8951,2.0424,1.6437,1.9627,1.9365,26.1691,,31.6203,-23.4984,214.7590,0.6789,0.8080,0.8840,2.0312,1.6312,2.0770,1.9377,27.4989,,33.0762%,13.2112%,2.7965%,0.4822%,21.6008%,10.0289%,8.0039%,0.2893%,0.0964%,0.1929%,0.0000%,0.0964%,0.0964%,10.0289%,0.0000%,,28.6550%,11.4453%,2.4227%,0.4177%,18.7135%,8.6884%,6.9340%,0.2506%,0.0835%,0.1671%,0.0000%,0.0835%,0.0835%,8.6884%,0.0000%,,343,137,29,5,224,104,83,3,1,2,0,1,1,104,0
Cluster 786,1263,1265,1424,,-38.5258,-3.7674,215.5716,0.6651,0.8132,1.0360,2.3471,1.6046,1.7042,2.4530,28.0994,,-38.5246,-3.7671,215.5717,0.6653,0.8128,1.0354,2.3455,1.6034,1.7039,2.4529,28.0707,,-38.5243,-3.7710,215.5980,0.6659,0.8119,1.0429,2.3617,1.6031,1.7346,2.4383,28.4009,,-38.5258,-3.7674,215.5716,0.6623,0.8136,1.0375,2.3416,1.5722,1.7057,2.4700,27.7469,,-38.5246,-3.7671,215.5717,0.6626,0.8131,1.0369,2.3401,1.5712,1.7055,2.4701,27.7270,,-38.5243,-3.7710,215.5980,0.6628,0.8126,1.0443,2.3559,1.5673,1.7658,2.4449,28.3434,,27.5889%,10.5929%,2.6877%,0.0000%,23.2411%,8.7747%,12.7273%,0.0791%,0.2372%,0.1581%,0.0000%,0.0000%,0.1581%,13.7549%,0.0000%,,24.5084%,9.4101%,2.3876%,0.0000%,20.6461%,7.7949%,11.3062%,0.0702%,0.2107%,0.1404%,0.0000%,0.0000%,0.1404%,12.2191%,0.0000%,,349,134,34,0,294,111,161,1,3,2,0,0,2,174,0
Cluster 787,1734,1737,2060,,38.3749,-2.9395,216.4070,0.9042,1.0738,1.2247,4.9812,2.1326,2.3812,2.6355,56.0595,,38.3747,-2.9393,216.4066,0.9045,1.0732,1.2249,4.9803,2.1324,2.3810,2.6359,56.0561,,38.3703,-2.9399,216.4212,0.9083,1.0667,1.2274,4.9813,2.1279,2.3816,2.6213,55.6455,,38.3749,-2.9395,216.4070,0.8610,1.0705,1.2583,4.8582,1.9332,2.4135,2.7504,53.7523,,38.3747,-2.9393,216.4066,0.8610,1.0703,1.2583,4.8573,1.9337,2.4166,2.7478,53.7862,,38.3703,-2.9399,216.4212,0.8610,1.0670,1.2607,4.8518,1.9387,2.4387,2.8259,55.9651,,30.5124%,12.1474%,3.1664%,0.3454%,21.7617%,7.8296%,10.7657%,0.2303%,0.2303%,0.1727%,0.0576%,0.0576%,0.1151%,12.6079%,0.0000%,,25.7282%,10.2427%,2.6699%,0.2913%,18.3495%,6.6019%,9.0777%,0.1942%,0.1942%,0.1456%,0.0485%,0.0485%,0.0971%,10.6311%,0.0000%,,530,211,55,6,378,136,187,4,4,3,1,1,2,219,0
Cluster 788,473,474,552,,39.0801,2.5487,214.6804,0.6261,0.7409,0.8368,1.6260,1.4336,1.8811,1.6680,18.8413,,39.0828,2.5491,214.6790,0.6281,0.7402,0.8364,1.6289,1.4309,1.8815,1.6693,18.8260,,39.0998,2.5391,214.6450,0.6330,0.7484,0.8359,1.6588,1.4139,1.8715,1.7034,18.8795,,39.0801,2.5487,214.6804,0.5246,0.6549,0.9680,1.3931,1.1753,1.4872,2.0760,15.2000,,39.0828,2.5491,214.6790,0.5254,0.6552,0.9679,1.3955,1.1738,1.4782,2.0776,15.0996,,39.0998,2.5391,214.6450,0.5192,0.6644,0.9740,1.4072,1.1765,1.4681,2.2019,15.9314,,32.7004%,14.3460%,1.8987%,0.2110%,20.8861%,8.4388%,10.7595%,0.0000%,0.2110%,0.2110%,0.0000%,0.2110%,0.0000%,10.1266%,0.0000%,,28.0797%,12.3188%,1.6304%,0.1812%,17.9348%,7.2464%,9.2391%,0.0000%,0.1812%,0.1812%,0.0000%,0.1812%,0.0000%,8.6957%,0.0000%,,155,68,9,1,99,40,51,0,1,1,0,1,0,48,0
Cluster 789,3109,3111,3538,,24.2360,2.7204,217.0766,1.0842,1.2023,1.4572,7.9565,2.4837,2.7068,3.4349,96.7291,,24.2349,2.7203,217.0761,1.0846,1.2021,1.4569,7.9568,2.4848,2.7066,3.4353,96.7758,,24.2387,2.7222,217.0742,1.0778,1.2019,1.4610,7.9278,2.4809,2.7086,3.4373,96.7506,,24.2360,2.7204,217.0766,1.0756,1.1931,1.4711,7.9075,2.5030,2.6231,3.3993,93.4853,,24.2349,2.7203,217.0761,1.0760,1.1930,1.4707,7.9081,2.5044,2.6224,3.3998,93.5265,,24.2387,2.7222,217.0742,1.0674,1.1973,1.4724,7.8820,2.5025,2.6006,3.4137,93.0603,,24.4937%,12.5040%,2.2501%,0.3857%,23.2723%,9.0325%,15.0755%,0.0643%,0.2893%,0.2572%,0.0321%,0.0000%,0.0643%,12.2790%,0.0000%,,21.5376%,10.9949%,1.9785%,0.3392%,20.4635%,7.9423%,13.2561%,0.0565%,0.2544%,0.2261%,0.0283%,0.0000%,0.0565%,10.7971%,0.0000%,,762,389,70,12,724,281,469,2,9,8,1,0,2,382,0
